,0,1,2,3,4,5,6,7,8,9,10,11,12
35,-1.8405292,-0.8349042,-0.09965818,-0.97257316,-0.95762074,-0.9511386,-0.946831,-0.95611036,-0.95270675,-0.96052516,-0.95777345,-0.96209484,-0.960869
36,-1.7135961,-0.6928749,-0.10072775,-1.017981,-0.9939851,-0.98940676,-0.98503554,-0.99419975,-0.99196166,-1.0000187,-0.99767196,-1.0018225,-1.0007501
37,-1.586663,-0.9524734,-0.1023219,-1.0633897,-1.0303496,-1.0276756,-1.0232396,-1.0322896,-1.0312166,-1.0395119,-1.037571,-1.0415497,-1.0406313
38,-1.45973,-1.2626364,-0.10351531,-1.1087981,-1.0667142,-1.0659442,-1.0614438,-1.0703796,-1.0704716,-1.0790052,-1.0774691,-1.0812769,-1.0805126
39,-1.332797,-1.1788356,-0.10488546,-1.0222669,-1.0359825,-1.0520769,-1.086247,-1.1081637,-1.1091664,-1.1183127,-1.1173682,-1.1210037,-1.1203938
40,-1.205864,-0.7882891,-0.10464811,-0.9311041,-0.92326814,-0.90107965,-0.88135767,-0.8444515,-0.8062727,-0.795851,-0.79096913,-0.7941782,-0.7917264
41,-1.0789309,-0.5878126,-0.103750624,-0.840279,-0.81055313,-0.7505318,-0.68088245,-0.63620824,-0.6002531,-0.589616,-0.58536744,-0.59047526,-0.58796364
42,-0.9519979,-0.78605896,-0.09969347,-0.7893034,-0.79840916,-0.79755837,-0.7916961,-0.79619616,-0.79005927,-0.79350656,-0.7947905,-0.79589874,-0.7912381
43,-0.82506484,-1.011298,-0.09236784,-0.73832786,-0.78741944,-0.8450755,-0.9025105,-0.9561848,-0.97986597,-0.99739647,-1.0042139,-1.0086423,-1.008513
44,-0.6981318,-0.8356242,-0.084839165,-0.6308173,-0.66474056,-0.7187425,-0.7671422,-0.8090904,-0.8247453,-0.8315054,-0.8366728,-0.84125215,-0.83804816
45,-0.57119876,-0.37844884,-0.07731051,-0.50389755,-0.49757874,-0.48270136,-0.45315385,-0.40977013,-0.38433474,-0.37788594,-0.38003913,-0.38380477,-0.38129216
46,-0.44426572,-0.14064226,-0.06664434,-0.39785933,-0.33272994,-0.24694808,-0.18000281,-0.15464303,-0.1405327,-0.13910735,-0.14270493,-0.14444,-0.14257914
47,-0.31733268,-0.30251485,-0.05581642,-0.32577002,-0.3174178,-0.30723602,-0.30803353,-0.30660847,-0.3010068,-0.30040103,-0.30378416,-0.30832654,-0.30729544
48,-0.19039965,-0.4727515,-0.042621784,-0.2537493,-0.3019603,-0.3675238,-0.4363718,-0.4588643,-0.46647015,-0.4708069,-0.47519574,-0.47663927,-0.47449186
49,-0.06346661,-0.24129662,-0.031107068,-0.084092095,-0.12054221,-0.12845857,-0.17116648,-0.21738875,-0.23348978,-0.23860982,-0.24340644,-0.24433184,-0.2438145
50,0.06346661,0.24129662,-0.022287518,0.08751236,0.073196426,0.11100237,0.16802475,0.21872434,0.23848322,0.24176237,0.23791882,0.23760045,0.23760119
51,0.19039965,0.4727515,-0.021237046,0.24985163,0.26578045,0.34566325,0.4110469,0.4541001,0.4686704,0.47018486,0.4670972,0.46737593,0.46592966
52,0.31733268,0.30251485,-0.019745022,0.33287978,0.31170052,0.30404913,0.30225012,0.30595937,0.3071315,0.3060026,0.30244985,0.30279016,0.30173525
53,0.44426572,0.14064226,-0.016212404,0.4159009,0.35762084,0.2624349,0.19345334,0.15781811,0.14559254,0.14182013,0.13780195,0.13820368,0.1375418
54,0.57119876,0.37844884,-0.013061568,0.53305817,0.52210426,0.48918176,0.41971794,0.3878965,0.37889645,0.37879112,0.37415668,0.3764586,0.37417457
55,0.6981318,0.8356242,-0.011955097,0.65026593,0.687692,0.72400534,0.78815407,0.83015865,0.8360842,0.8367766,0.83157,0.83392745,0.83158946
