,0,1,2,3,4,5,6,7
21,1.3327969,-0.8286983,-0.0125273075,-0.025949288,-0.03663057,-0.045013182,-0.051474273,-0.05350232
22,1.3962634,-0.8610662,-0.013204811,-0.03516811,-0.057639137,-0.07491222,-0.08346495,-0.084811985
23,1.4597299,-0.8511146,-0.013563419,-0.03472153,-0.055622395,-0.07133789,-0.078151725,-0.0785912
24,1.5231965,-0.80226576,-0.014382487,-0.025289126,-0.03249659,-0.038271487,-0.038842306,-0.03731034
25,1.586663,-0.73154867,-0.01526711,-0.0075205294,0.0027176216,0.011264319,0.018430429,0.022027072
26,1.6501296,-0.6629591,-0.01605893,0.008120815,0.033468686,0.056008168,0.06969003,0.075267754
27,1.713596,-0.618112,-0.016955923,0.013846232,0.048531763,0.07786482,0.09476156,0.10096043
28,1.7770625,-0.60782886,-0.018006809,0.009735733,0.04236268,0.06875569,0.08375242,0.08956082
29,1.8405291,-0.6279334,-0.019203465,-0.0032878444,0.014686981,0.03153108,0.040980794,0.0437658
30,1.9039955,-0.6608956,-0.019900354,-0.021148006,-0.025283728,-0.019809743,-0.01736688,-0.0174236
31,1.9674621,-0.68268216,-0.020734094,-0.03647261,-0.057943866,-0.06497866,-0.06998085,-0.07239276
32,2.0309286,-0.67214525,-0.022110472,-0.04264734,-0.07138159,-0.087753415,-0.097544715,-0.0999614
33,2.0943952,-0.61929464,-0.023505505,-0.04068282,-0.067224145,-0.08022176,-0.0883816,-0.09022455
34,2.1578617,-0.52922845,-0.023537958,-0.031254232,-0.04315248,-0.04576708,-0.04805941,-0.047875665
35,2.2213283,-0.42019516,-0.02401646,-0.015324798,-0.008554537,0.0014198553,0.006382121,0.01005657
36,2.2847948,-0.31653804,-0.025112,-0.0015772488,0.02086865,0.041290298,0.05270537,0.059189748
37,2.348261,-0.2392714,-0.02619219,0.0034200996,0.03335607,0.057080247,0.071768805,0.07993522
38,2.4117277,-0.19795817,-0.027862277,0.0016989447,0.025483996,0.04272479,0.05543365,0.06303853
39,2.4751942,-0.18705332,-0.029243855,-0.009719936,-0.004624268,0.0016480014,0.008333614,0.014222113
40,2.5386608,-0.18813437,-0.030030336,-0.028485866,-0.044469092,-0.052278377,-0.051927187,-0.04821308
41,2.6021273,-0.1771506,-0.030508105,-0.043644696,-0.07814202,-0.09731557,-0.101949066,-0.09993672
42,2.6655939,-0.13387072,-0.03077711,-0.04751637,-0.09138278,-0.11458882,-0.12231759,-0.121223085
43,2.7290604,-0.049843937,-0.03137531,-0.04370887,-0.08081483,-0.099292934,-0.104718596,-0.103612326
44,2.7925267,0.068222016,-0.032499295,-0.032676537,-0.0499759,-0.056172073,-0.055948764,-0.05350464
45,2.8559933,0.20098606,-0.03351892,-0.017339407,-0.009533146,-0.0017179567,0.005121911,0.009112686
46,2.9194598,0.3239121,-0.03485364,-0.004663551,0.022713494,0.042408958,0.054780647,0.06037664
47,2.9829264,0.41673347,-0.03514157,-0.00049907155,0.03359181,0.058920167,0.07386314,0.08093097
48,3.046393,0.47125012,-0.035326555,-0.0038927682,0.01976259,0.04146816,0.054882623,0.062205188
49,3.1098595,0.4944249,-0.03654473,-0.01869732,-0.015350031,-0.0037745219,0.0045037735,0.011012236
50,3.173326,0.505575,-0.037463337,-0.040364206,-0.059515595,-0.0600973,-0.05786325,-0.052307792
51,3.2367926,0.5287499,-0.037961815,-0.05777327,-0.09386065,-0.105225086,-0.10830815,-0.10336667
52,3.300259,0.5832667,-0.03822075,-0.063456245,-0.10457577,-0.12276346,-0.12754282,-0.12291659
53,3.3637257,0.6760882,-0.039269622,-0.05896861,-0.0923882,-0.10534513,-0.10846411,-0.10316399
54,3.4271922,0.7990144,-0.03995782,-0.04336626,-0.059356816,-0.06018117,-0.05828522,-0.051421605
55,3.4906588,0.9317781,-0.039366335,-0.024506435,-0.018064117,-0.0054603275,0.00265624,0.010968532
56,3.554125,1.0498443,-0.039044574,-0.01151423,0.014665205,0.037069723,0.050380938,0.059414256
57,3.6175916,1.1338708,-0.03993141,-0.008163573,0.025406184,0.05114892,0.066772014,0.07615256
58,3.6810582,1.1771507,-0.0405655,-0.014744107,0.010824461,0.031801216,0.045373864,0.054128937
59,3.7445247,1.1881342,-0.04158884,-0.033274993,-0.024786271,-0.014874024,-0.0058998503,0.0017990749
60,3.8079913,1.1870532,-0.042918436,-0.057677407,-0.06781907,-0.07008669,-0.06662598,-0.05977455
61,3.8714578,1.1979582,-0.04310451,-0.07375474,-0.09987074,-0.11222008,-0.11335793,-0.106811985
62,3.9349244,1.2392715,-0.042416498,-0.07715987,-0.10880171,-0.1245438,-0.12757014,-0.12112385
63,3.9983907,1.3165382,-0.042593017,-0.070360675,-0.09238818,-0.10273595,-0.103320435,-0.096031025
64,4.061857,1.4201956,-0.043198224,-0.053132378,-0.055956062,-0.05446954,-0.05025376,-0.041327998
65,4.125324,1.5292288,-0.04428742,-0.031264994,-0.014031295,0.00092737935,0.010666888,0.020775635
66,4.1887903,1.6192946,-0.04480881,-0.01702855,0.01567036,0.04109235,0.05598569,0.06627301
67,4.252257,1.6721454,-0.044669144,-0.013757298,0.022436589,0.051203884,0.0679503,0.078098305
68,4.3157234,1.682682,-0.04483886,-0.021256246,0.0044821016,0.027853046,0.041152023,0.051048677
69,4.37919,1.6608953,-0.04482071,-0.041693904,-0.035457127,-0.02265016,-0.014227611,-0.004810743
70,4.4426565,1.627933,-0.045605455,-0.066239595,-0.08032386,-0.08075581,-0.077126384,-0.0681784
71,4.506123,1.6078289,-0.0460115,-0.08207089,-0.11200662,-0.12361516,-0.123818144,-0.11425891
72,4.5695896,1.6181121,-0.046446793,-0.08604537,-0.119474486,-0.13536087,-0.13616768,-0.12604253
73,4.633056,1.6629595,-0.046689693,-0.07804351,-0.10235232,-0.11265831,-0.110129714,-0.09850848
74,4.6965227,1.7315489,-0.046294708,-0.05829984,-0.06564968,-0.064172134,-0.055963397,-0.04204321
75,4.759989,1.8022656,-0.04615324,-0.03491182,-0.02401519,-0.009198645,0.0046471246,0.019779243
76,4.8234553,1.8511146,-0.046142682,-0.02139309,0.005312279,0.030391142,0.047900405,0.06286587
77,4.886922,1.8610663,-0.046061005,-0.019648543,0.011601619,0.03955468,0.058158457,0.07210504
78,4.9503884,1.8286983,-0.045446243,-0.027455607,-0.006234795,0.01672579,0.031284083,0.044081524
79,5.013855,1.7655412,-0.046012584,-0.045703232,-0.042220842,-0.030306343,-0.021667676,-0.010422894
80,5.0773215,1.6936088,-0.04660596,-0.06676278,-0.08098152,-0.08286413,-0.07953035,-0.069361284
