,0,1,2,3,4,5,6,7
42,2.6655939,-0.13387072,-0.18958867,-0.35559753,-0.34421903,-0.23462479,-0.15039465,-0.11202824
43,2.7290604,-0.049843937,-0.18458837,-0.3185378,-0.29236764,-0.17297804,-0.084843375,-0.045535278
44,2.7925267,0.068222016,-0.17925781,-0.27960977,-0.23826429,-0.10895719,-0.01684127,0.02344786
45,2.8559933,0.20098606,-0.17359054,-0.23889624,-0.18205923,-0.04276474,0.053390928,0.09468937
46,2.9194598,0.3239121,-0.1675838,-0.19649233,-0.12392136,0.025374308,0.12560463,0.16792618
47,2.9829264,0.41673347,-0.16123828,-0.15250565,-0.06403629,0.09521404,0.1995267,0.24286792
48,3.046393,0.47125012,-0.15455857,-0.10705568,-0.0026061907,0.16648956,0.2748615,0.31919834
49,3.1098595,0.4944249,-0.14755324,-0.060273718,0.060151957,0.23891908,0.3512936,0.39657968
50,3.173326,0.505575,-0.14023474,-0.01230159,0.12400798,0.3122068,0.4284914,0.47465572
51,3.2367926,0.5287499,-0.13261968,0.03670891,0.18872079,0.3860464,0.5061107,0.5530579
52,3.300259,0.5832667,-0.124728225,0.086597085,0.25404024,0.46012384,0.5837998,0.63140905
53,3.3637257,0.6760882,-0.11658432,0.13719527,0.31971005,0.5341215,0.66120327,0.7093295
54,3.4271922,0.7990144,-0.10821497,0.1883296,0.3854703,0.6077218,0.7379672,0.7864427
55,3.4906588,0.9317781,-0.09965033,0.23982243,0.4510605,0.68061113,0.8137438,0.8623806
56,3.554125,1.0498443,-0.09092287,0.29149294,0.5162215,0.75248283,0.8881958,0.93678874
57,3.6175916,1.1338708,-0.08206705,0.34316066,0.5806999,0.8230422,0.96100146,1.009332
58,3.6810582,1.1771507,-0.07311861,0.39464498,0.64424855,0.89200795,1.031857,1.0796976
59,3.7445247,1.1881342,-0.064114764,0.4457686,0.70663023,0.9591159,1.1004814,1.1476004
60,3.8079913,1.1870532,-0.055092506,0.49635822,0.7676194,1.0241213,1.1666182,1.2127849
61,3.8714578,1.1979582,-0.046089098,0.5462463,0.82700396,1.0868002,1.2300377,1.2750269
62,3.9349244,1.2392715,-0.03714107,0.59527206,0.8845865,1.1469511,1.2905387,1.334137
63,3.9983907,1.3165382,-0.02828376,0.643283,0.94018567,1.2043955,1.3479483,1.3899579
64,4.061857,1.4201956,-0.01955118,0.6901357,0.9936373,1.2589787,1.4021227,1.4423667
65,4.125324,1.5292288,-0.010975242,0.7356961,1.0447931,1.3105687,1.4529462,1.491272
66,4.1887903,1.6192946,-0.0025857612,0.77983993,1.0935225,1.3590552,1.5003288,1.5366119
67,4.252257,1.6721454,0.005589612,0.822454,1.1397108,1.4043486,1.5442051,1.578352
68,4.3157234,1.682682,0.013526119,0.86343455,1.1832596,1.4463792,1.5845319,1.6164821
69,4.37919,1.6608953,0.021201469,0.9026885,1.2240846,1.485094,1.6212851,1.6510121
70,4.4426565,1.627933,0.028596066,0.9401325,1.2621154,1.5204549,1.654456,1.6819682
71,4.506123,1.6078289,0.035692953,0.97569203,1.2972941,1.5524365,1.68405,1.7093886
72,4.5695896,1.6181121,0.042477794,1.0093019,1.3295727,1.5810238,1.7100805,1.7333201
73,4.633056,1.6629595,0.04893852,1.040904,1.3589131,1.606209,1.7325681,1.7538131
74,4.6965227,1.7315489,0.05506543,1.070448,1.3852842,1.6279905,1.7515353,1.770918
75,4.759989,1.8022656,0.060850494,1.0978894,1.408661,1.6463684,1.7670051,1.7846816
76,4.8234553,1.8511146,0.06628779,1.1231894,1.4290234,1.6613449,1.7789978,1.795143
77,4.886922,1.8610663,0.07137265,1.1463138,1.446354,1.6729212,1.7875276,1.8023318
78,4.9503884,1.8286983,0.0761017,1.1672319,1.4606376,1.6810954,1.7926018,1.8062642
79,5.013855,1.7655412,0.080472134,1.1859168,1.4718599,1.6858622,1.7942187,1.8069417
80,5.0773215,1.6936088,0.08448207,1.2023432,1.4800069,1.6872116,1.7923663,1.8043497
